ec2_instance_type,ec2_instance_count,ec2_hours,ec2_pricing_model,codebuild_minutes,pipeline_count,s3_storage_gb,ecr_storage_gb,rds_instance_type,rds_hours,rds_storage_gb,data_transfer_out_gb,cloudwatch_logs_gb,region,environment,monthly_cost_usd
m5.large,4,360,on_demand,1279,2,136,70,db.t3.medium,720,175,105,7,eu-west-1,prod,215.95
m5.xlarge,3,720,reserved,2322,3,94,14,db.t3.micro,720,174,17,8,eu-west-1,stage,302.51
c5.large,6,720,reserved,684,5,198,33,db.t3.micro,720,75,44,28,us-west-2,dev,280.15
m5.large,6,360,reserved,2320,3,29,64,db.t3.medium,720,266,20,23,us-east-1,stage,214.99
t3.medium,5,720,spot,1417,2,30,27,db.t3.medium,720,236,103,41,eu-west-1,dev,148.39
m5.large,4,720,reserved,583,4,112,56,db.t3.micro,720,171,194,25,us-east-1,prod,233.0
t3.medium,5,360,reserved,613,4,36,12,db.t3.medium,720,233,165,24,us-east-1,dev,128.86
m5.large,3,720,on_demand,1035,1,169,99,db.m5.large,720,26,117,27,us-west-2,dev,388.59
m5.xlarge,4,720,reserved,1391,1,104,99,db.t3.micro,720,89,168,4,eu-west-1,prod,408.03
t3.large,6,720,on_demand,2013,4,105,52,db.m5.large,720,46,34,35,us-west-2,dev,535.9
c5.xlarge,6,720,on_demand,2390,3,73,32,db.m5.large,720,128,13,1,us-west-2,stage,891.14
t3.micro,1,720,reserved,1069,5,195,76,db.m5.large,720,232,182,23,eu-west-1,prod,188.42
m5.large,5,720,spot,1559,3,35,84,db.m5.large,720,243,29,3,us-east-1,stage,297.59
m5.large,4,720,reserved,571,5,197,46,db.t3.micro,720,139,153,35,us-east-1,stage,235.21
c5.xlarge,4,720,reserved,901,2,25,68,db.m5.large,720,112,32,34,eu-west-1,stage,488.24
m5.large,2,720,spot,389,3,120,90,db.t3.micro,720,294,188,24,us-east-1,prod,110.16
t3.medium,6,360,reserved,1174,2,108,28,db.m5.large,720,210,114,5,eu-west-1,stage,220.56
t3.small,4,360,reserved,1354,4,23,23,db.t3.medium,720,34,6,47,us-west-2,prod,101.35
c5.large,1,720,reserved,1631,3,51,15,db.m5.large,720,290,159,17,us-east-1,dev,211.66
t3.small,2,720,on_demand,1299,4,123,20,db.m5.large,720,297,94,12,eu-west-1,prod,193.98
t3.large,2,360,reserved,1245,5,110,29,db.t3.medium,720,281,17,2,eu-west-1,dev,101.36
t3.medium,5,720,spot,1698,2,19,77,db.t3.medium,720,102,110,5,us-west-2,prod,137.17
t3.micro,5,360,spot,2230,3,29,42,db.t3.micro,720,265,21,32,us-west-2,dev,53.64
t3.large,2,360,reserved,2318,3,37,67,db.t3.medium,720,264,111,38,eu-west-1,dev,135.31
t3.small,3,360,spot,2379,1,141,83,db.m5.large,720,89,121,23,eu-west-1,dev,193.05
c5.xlarge,2,360,reserved,321,5,189,87,db.m5.large,720,277,141,17,us-west-2,dev,253.64
m5.xlarge,3,360,spot,1659,4,180,14,db.t3.medium,720,269,63,16,eu-west-1,prod,158.69
t3.medium,2,720,spot,880,4,178,79,db.t3.micro,720,214,61,15,us-west-2,dev,65.59
t3.small,4,360,on_demand,1388,5,50,62,db.t3.medium,720,207,114,24,eu-west-1,prod,114.74
c5.large,2,360,spot,770,1,158,7,db.m5.large,720,226,64,50,us-east-1,dev,201.66
c5.xlarge,1,360,spot,1633,1,162,23,db.m5.large,720,186,65,21,us-west-2,prod,193.26
t3.medium,1,360,on_demand,2265,4,22,94,db.m5.large,720,171,31,31,us-west-2,dev,192.74
c5.large,2,720,spot,1567,5,198,89,db.t3.medium,720,230,17,11,us-west-2,stage,125.52
t3.small,6,360,spot,1160,5,65,91,db.m5.large,720,262,165,8,us-west-2,prod,191.46
t3.small,6,720,spot,414,2,156,78,db.t3.medium,720,203,47,35,us-east-1,stage,119.37
t3.large,6,360,reserved,1958,1,41,30,db.t3.micro,720,145,70,31,us-west-2,dev,164.59
t3.small,4,360,on_demand,1717,1,196,8,db.t3.medium,720,190,165,39,us-west-2,dev,126.44
c5.large,2,360,reserved,854,1,26,48,db.m5.large,720,185,70,37,us-west-2,prod,212.49
m5.large,3,720,reserved,752,1,87,29,db.t3.micro,720,283,75,8,us-west-2,prod,166.44
t3.micro,1,360,spot,1760,2,81,55,db.m5.large,720,89,191,24,us-west-2,stage,185.09
m5.large,5,720,reserved,2063,4,148,42,db.t3.micro,720,74,22,14,us-east-1,dev,263.78
m5.xlarge,3,360,on_demand,427,3,180,29,db.t3.medium,720,257,152,2,us-east-1,dev,279.45
m5.xlarge,1,360,spot,2488,2,173,9,db.m5.large,720,236,80,39,us-east-1,prod,209.91
m5.large,1,360,on_demand,361,1,121,53,db.t3.micro,720,158,94,21,us-east-1,stage,75.65
m5.xlarge,6,720,reserved,1017,3,14,80,db.m5.large,720,196,97,16,us-east-1,stage,707.51
c5.large,4,720,on_demand,1234,5,129,64,db.m5.large,720,89,157,45,us-east-1,stage,435.21
t3.small,5,360,spot,699,4,76,19,db.m5.large,720,167,133,42,us-west-2,prod,193.33
t3.micro,4,360,on_demand,2461,5,168,76,db.t3.micro,720,284,194,5,us-east-1,dev,70.94
m5.xlarge,4,720,on_demand,246,3,121,60,db.t3.medium,720,25,61,40,us-west-2,dev,636.7
m5.large,5,360,on_demand,2242,5,167,66,db.m5.large,720,222,42,20,us-east-1,stage,346.47
m5.large,4,720,on_demand,1958,3,73,85,db.m5.large,720,142,38,3,us-east-1,dev,439.61
t3.medium,6,720,spot,2258,2,195,68,db.m5.large,720,81,176,26,us-east-1,stage,261.54
c5.large,2,720,spot,1287,1,16,50,db.m5.large,720,64,94,17,eu-west-1,dev,215.96
c5.xlarge,4,720,spot,995,1,178,27,db.t3.medium,720,217,90,11,us-east-1,prod,269.45
m5.large,5,360,on_demand,2368,3,11,60,db.m5.large,720,114,146,46,eu-west-1,dev,365.27
c5.xlarge,6,720,spot,573,5,120,99,db.m5.large,720,104,18,24,us-west-2,dev,461.14
c5.xlarge,6,720,reserved,249,3,62,66,db.m5.large,720,118,165,17,eu-west-1,dev,648.22
m5.large,1,720,on_demand,379,1,146,13,db.t3.medium,720,280,25,26,us-east-1,prod,139.16
m5.large,4,360,on_demand,524,1,72,66,db.m5.large,720,107,36,19,eu-west-1,stage,300.1
t3.large,4,720,on_demand,928,2,172,46,db.t3.medium,720,96,20,39,us-east-1,dev,322.35
